fast_ema,slow_ema,signal_ema,min_days_between_trades,trade_size,final_value,cagr
8,30,10,8,1,1097017.5024414062,0.009306355151703638
8,30,10,8,11,1914352.4467773438,0.06712127032211757
8,30,10,8,21,1673587.5405273438,0.05286825603819589
8,30,10,8,31,1636392.7939453125,0.050503595858804484
8,30,10,8,41,1777979.083984375,0.05926087863422835
8,30,10,10,1,1042703.455078125,0.004192162299522462
8,30,10,10,11,1423174.447265625,0.03593405530535465
8,30,10,10,21,1537313.423828125,0.04396013533320309
8,30,10,10,31,1577370.3984375,0.0466500551749327
8,30,10,10,41,1402269.4580078125,0.034401591392378084
8,30,12,2,1,1019181.0493164062,0.0019025292983589903
8,30,12,2,11,1223370.9252929688,0.020374067880512436
8,30,12,2,21,1299178.5200195312,0.026529780632401634
8,30,12,2,31,1430650.3198242188,0.03647716792908784
8,30,12,2,41,1382456.0278320312,0.03293004798433796
8,30,12,4,1,1060538.2001953125,0.005897387865956283
8,30,12,4,11,1665920.2021484375,0.052384701338358264
8,30,12,4,21,1990843.9638671875,0.07131209506847958
8,30,12,4,31,1568282.5546875,0.046045221968805006
8,30,12,4,41,1445270.009765625,0.037531928929452674
8,30,12,6,1,1114728.0029296875,0.010924749360164077
8,30,12,6,11,2084285.3935546875,0.07623924059547105
8,30,12,6,21,2055835.78515625,0.07476051101897307
8,30,12,6,31,1673439.1411132812,0.052858915895637626
8,30,12,6,41,1824409.1616210938,0.06199617503003507
8,30,12,8,1,1071622.3510742188,0.006944213598305993
8,30,12,8,11,1723581.6274414062,0.055973207617402876
8,30,12,8,21,2050921.8364257812,0.07450323467298059
8,30,12,8,31,1639908.0395507812,0.05072913639874055
8,30,12,8,41,1468453.4877929688,0.03918501331915869
8,30,12,10,1,1051158.6528320312,0.00500383085949152
8,30,12,10,11,1443920.9467773438,0.037435001748180374
8,30,12,10,21,1576762.8774414062,0.046609720108495845
8,30,12,10,31,1612558.3500976562,0.04896275826603014
8,30,12,10,41,1315377.9858398438,0.027803158756966928
8,30,14,2,1,1008429.3447265625,0.0008400991701200677
8,30,14,2,11,1092722.7919921875,0.008910361684957735
8,30,14,2,21,1177016.2392578125,0.016438609858241637
8,30,14,2,31,1297477.3623046875,0.026395231246805873
8,30,14,2,41,1342122.2177734375,0.029874860105341128
8,30,14,4,1,1034490.8427734375,0.003398090249174812
8,30,14,4,11,1379399.2705078125,0.03270133467867997
8,30,14,4,21,1441230.8564453125,0.03724148119562454
8,30,14,4,31,1414947.169921875,0.03533337843546813
8,30,14,4,41,1378626.51171875,0.03264344293969623
8,30,14,6,1,1052360.392578125,0.00511871628843763
8,30,14,6,11,1575964.318359375,0.04655668019392745
8,30,14,6,21,1799416.26953125,0.06053168016626098
8,30,14,6,31,1686209.521484375,0.05365995881723018
8,30,14,6,41,1865372.2255859375,0.06435786796990528
8,30,14,8,1,1053228.8452148438,0.0052016662478626685
8,30,14,8,11,1585517.2973632812,0.047189604707527755
8,30,14,8,21,2053306.3002929688,0.0746281456651412
8,30,14,8,31,1675675.7124023438,0.05299960496282141
8,30,14,8,41,1438256.9077148438,0.03702716164677344
8,30,14,10,1,1077197.1538085938,0.007467039460200331
8,30,14,10,11,1616658.8774414062,0.04922930067181275
8,30,14,10,21,1644393.2749023438,0.051016281234858685
8,30,14,10,31,1635876.4350585938,0.05047042920132805
8,30,14,10,41,1296255.4096679688,0.026298485535986016
8,40,6,2,1,1029340.404296875,0.002897198177312932
8,40,6,2,11,1322744.447265625,0.028377545966666196
8,40,6,2,21,1550899.357421875,0.04487945918470326
8,40,6,2,31,1556682.560546875,0.04526859553282758
8,40,6,2,41,1664159.0400390625,0.052273347615436894
8,40,6,4,1,1028398.8037109375,0.002805381548662389
8,40,6,4,11,1331215.5322265625,0.029034516364650154
8,40,6,4,21,1611062.2451171875,0.048865356580822805
8,40,6,4,31,1846523.2666015625,0.06327700455686913
8,40,6,4,41,2119595.2880859375,0.07804949016041274
8,40,6,6,1,1052605.353515625,0.005142119885262808
8,40,6,6,11,1508995.888671875,0.042020221496419374
8,40,6,6,21,1514056.9287109375,0.042369322998505154
8,40,6,6,31,1614996.6181640625,0.049121323935571226
8,40,6,6,41,1751527.998046875,0.057673709063270406
8,40,6,8,1,1044786.0512695312,0.004392632338037661
8,40,6,8,11,1492646.5639648438,0.040885228817580055
8,40,6,8,21,1906820.9438476562,0.06670052238123625
8,40,6,8,31,2172266.5893554688,0.08070000682111877
8,40,6,8,41,1960263.001953125,0.06965430633499636
8,40,6,10,1,1056699.2563476562,0.005532528113569857
8,40,6,10,11,1554028.8198242188,0.04509019419708227
8,40,6,10,21,1565475.5004882812,0.045857763363641
8,40,6,10,31,1679906.1225585938,0.053265252774445715
8,40,6,10,41,1815133.5122070312,0.06145477401511257
8,40,8,2,1,1014544.6967773438,0.0014456309029826642
8,40,8,2,11,1159991.6645507812,0.014958149295455136
8,40,8,2,21,1297990.9741210938,0.026435870983738008
8,40,8,2,31,1359244.9379882812,0.031181822918322277
8,40,8,2,41,1475130.4018554688,0.03965675030888849
8,40,8,4,1,1026875.9516601562,0.0026567261261802866
8,40,8,4,11,1295635.4682617188,0.026249371500165486
8,40,8,4,21,1469299.6020507812,0.03924489962299349
8,40,8,4,31,1558575.0590820312,0.04539565420795211
8,40,8,4,41,1525189.3999023438,0.04313354015651516
8,40,8,6,1,1052842.30078125,0.005164753191717164
8,40,8,6,11,1581265.30859375,0.04690831781588689
8,40,8,6,21,1652859.5048828125,0.051556373760399676
8,40,8,6,31,1627264.77734375,0.04991589356215331
8,40,8,6,41,1871352.33984375,0.06469873450107921
